name,price,location,link,Description,Property Address,Condition,Furnishing,Attribute_1,Attribute_2,Attribute_3,Estate Name,Property Size,Subtype,Service Charge Fee,Service Charge Covers,Agency Fee,Legal and Agreement Fee,Caution Fee,Total Fee,Pets,New Property,Total Rooms,Parking Space,Broker Fee,Furnished,Housing Quality,Smoking,Parties
"Furnished 4bdrm Duplex in Victoria Island, Kofo Abayomi for Rent", 20000000,"Victoria Island, Kofo Abayomi",https://jiji.ng/kofo-abayomi/houses-apartments-for-rent/furnished-4bdrm-duplex-in-victoria-island-kofo-abayomi-for-rent-ddXbVdniFuJN6OEzfjo2p8td.html?page=16&pos=2&cur_pos=2&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=324,"Spacious duplex for rent in Vi, good for office space, Bar, School, etc",Spacious property in VI,Fairly Used,Furnished,Duplex,4 bedrooms,4 bathrooms,Victoria island,"500
     
      sqm",,,,,,,,Pets Allowed,,,,,,,,
"5bdrm Duplex in Ikota, Lekki for rent", 8000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/5bdrm-duplex-in-ikota-lekki-for-rent-6E7fx2E2bRypKaXA9SyrB0uf.html?page=16&pos=5&cur_pos=5&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=327,"To Let!!
Beautiful Built 5 Bedroom Fully Detached Duplex !!
Location: ikota villa estate 
Rent: 8 M ( strictly 2 years upfront)
Agent: 10%
Legal :10%
Caution fee: 10%
Total:20,000,000",Ikota,Newly-Built,Unfurnished,Duplex,5 bedrooms,6 bathrooms,Ikota,"300
     
      sqm",,,,800000,800000,800000,2400000,,,,,,,,,
"3bdrm Block of Flats in Opic Estate, Isheri North for rent", 1800000,"Ojodu, Isheri North",https://jiji.ng/isheri-north/houses-apartments-for-rent/3bdrm-block-of-flats-in-opic-estate-isheri-north-for-rent-3hVYt3whrDH9zIp3kXP6AIfu.html?page=16&pos=7&cur_pos=7&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=329,Standard 3 bedroom room flat all rooms en-suite in a private at Opic via Ojodu Berger,Opic estate,Fairly Used,Semi-Furnished,Block of Flats,3 bedrooms,4 bathrooms,Opic Estate,"500
     
      sqm",,,,,,,,,,,,,,,,
"4bdrm Duplex in Chevron, Lekki for rent", 5000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-chevron-lekki-for-rent-6dbxtIpqSwOkQm9yogo0zLyf.html?page=16&pos=10&cur_pos=10&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=332,"*CHEVRON MIX USE RENT*
Very NEAT luxury, Spacious and modern - 4 Bedroom Semi Detached Duplex with BQ in a very secured estate (self compound ) Allowed for *Shared Apartment/other commercial activities.*
 *IDEAL FOR THE FOLLOWING:*
Family Resident
Staff House
Short Lets
Shared Apartment.
*FEATURES*
Ample Parking - (Up to 5 cars)
Automated Gate
Beautify Compound
Artificial Grass
CCTV
Large Reflect Wardrobes
*RENT - 5M*
Agency - 10%
Legal - 10%
Caution - 10%","Chevron, Lekki",Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,Chevron,"450
     
      sqm",,,,,,,,,,,,,,,,
Furnished 4bdrm Maisonette in Ikoyi for Rent, 14000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/furnished-4bdrm-maisonette-in-ikoyi-for-rent-b0gZMcAnUCrnuiEWu5FAsALt.html?page=16&pos=13&cur_pos=13&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=335,Executive luxury 4bedroom mansionette duplex with staff quarter elevator swimming pool and gym. there is service charge of 4m per anum including deisel fuel.then caution deposit is 500k,Ikoyi,Newly-Built,Furnished,Maisonette,4 bedrooms,4 bathrooms,Ikoyi,"1000
     
      sqm",Semi-Detached,,,,,,,,,,,,,,,
4bdrm Duplex in Lekki for rent, 8000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-aIEYP6u3yPuXuRsWufFxK6N0.html?page=16&pos=15&cur_pos=15&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=337,"FOR RENT! 
Lovely 4 Bedroom Detached Duplex 
Location- Chevron, Lekki
Rent - N8million per annum
Caution - 10%
Agency - 10% 
Legal - 10%
Property Features: 
- [x] Room ensuite 
- [x] Visitors toilet 
- [x] Fitted Kitchen
- [x] Very Secured Estate 
- [x] 24hrs Security
- [x] Jacuzzi
- [x] Ample Parking Space 
- [x] Wardrobe 
- [x] Kitchen cabinet
For more information and enquiries070XXXXXXXX",Chevron,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,"500
     
      sqm",,,,,,,,,,,,,,,,
3bdrm Apartment in Banana Island for rent, 20000000,"Ikoyi, Banana Island",https://jiji.ng/banana-island/houses-apartments-for-rent/3bdrm-apartment-in-banana-island-for-rent-l7Yw52cv0SejGirlYmtWpzxd.html?page=16&pos=18&cur_pos=18&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=340,"FOR RENT! 
Lovely 3 Bedroom Apartment
Location- Banana Island, Lagos 
Rent - N20million per annum 
Service Charge - N6,000,000 per annum (Diesel Deposit Inclusive) 
Caution - N1,000,000
Agency - 10% 
Legal - 5%
Property Features: 
- [x] Room ensuite 
- [x] Visitors toilet 
- [x] Fitted Kitchen
- [x] Very Secured Estate 
- [x] 24hrs Security
- [x] 24hrs Power
- [x] Swimming Pool
- [x] Gym
- [x] BQ
- [x] Ample Parking Space 
- [x] Wardrobe
- [x] Kitchen cabinet
For more information and enquiries070XXXXXXXX",Banana Island,Newly-Built,Semi-Furnished,Apartment,3 bedrooms,3 bathrooms,,"500
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Duplex in Lekki for Rent, 6500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-VHypvPn4xQJq4IK9Z2HtOMx.html?page=16&pos=21&cur_pos=21&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=343,"Fantastic 4 Bedroom fully-detached duplex with 1BQ Location: Royal Pine Estate, Orchid Road, Lekki. Lagos.
Rent 
Agency: 10%
Legal: 10%
Caution: 5%","Orchid Road, Lekki. Lagos.",Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,"600
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Duplex in Chevron for rent, 6000000,"Lekki, Chevron",https://jiji.ng/chevron/houses-apartments-for-rent/4bdrm-duplex-in-chevron-for-rent-4VRerlwAkzqA62DNMiRP5GUF.html?page=17&pos=4&cur_pos=4&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=347,"We have a beautiful, 4 bedroom terraced duplex available for rent in a serene location.

Agency and agreement:10%
Caution:10%",Chevron Lekki,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,"350
     
      sqm",,,,,,,,,,,,,,,,
3bdrm House in Lekki Phase 1 for rent, 10000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/3bdrm-house-in-lekki-phase-1-for-rent-pskSwgcRKSAP0lOYze6zBNtq.html?page=17&pos=7&cur_pos=7&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=350,"Luxury 3 bedroom apartment with a rooftop balcony + 1 BQ
3 bedroom 
1 BQ
Parking space 
Security
Sweet, luxurious and private 
Rent 10M
Service charge 2M
Agency 10%
Legal 10%
Total 14M",Lekki phase 1,Newly-Built,Unfurnished,House,3 bedrooms,4 bathrooms,,"102
     
      sqm",,,,,,,,,,,,,,,,
"Furnished 4bdrm Duplex in Ikota, Lekki for Rent", 7000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/furnished-4bdrm-duplex-in-ikota-lekki-for-rent-mOtJ1KWX1tBhuZnf8q0DCR89.html?page=17&pos=10&cur_pos=10&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=353,"Fully furnished 4 bedroom semi detached duplex for rent! 
location: ikota , lagos
rent: 7m per annum 
other charges:
- agency 10%
- legal. 10%
- caution 1m 
total package : 9.4m
 
features
- secure estate 
- all rooms ensuite
- inbuilt speakers 
- fitted kitchen
- pop ceiling 
- water heater
- walk-in-shower 
- jacuzzi
- stamp concrete floor 
- self serviced 
•","Ikota , Lekki",Newly-Built,Furnished,Duplex,4 bedrooms,5 bathrooms,Ikota,"450
     
      sqm",,,,,,,,,,,,,,,,
5bdrm Duplex in Ikota for rent, 5500000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/5bdrm-duplex-in-ikota-for-rent-1BVazdKhsbeczKyQVKeVxmat.html?page=17&pos=13&cur_pos=13&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=356,"RENT 
5BEDROOM FULLY DETACHED DUPLEX FOR RENT 
Amenities: 
- [ ] Fitted Kitchen 
- [ ] POP Ceiling 
- [ ] Detailed finishing 
- [ ] Wardrobes 
- [ ] Jacuzzi 
- [ ] CCTV 
- [ ] Gas cooker 
- [ ] Water Heater
- [ ] Heat extractor
- [ ] Bq 
 
Location: Ikota Lekki 
Price:per annum 
Legal : 10percent 
Agency : 10percent 
Caution : 5 percent",Ikota,Newly-Built,Unfurnished,Duplex,5 bedrooms,5 bathrooms,,"600
     
      sqm",,,,,,,,,,,,,,,,
"5bdrm Duplex in Oral Estate, Chevron for rent", 6000000,"Lekki, Chevron",https://jiji.ng/chevron/houses-apartments-for-rent/5bdrm-duplex-in-oral-estate-chevron-for-rent-ATzytAHJs7AMG6wJKcqhLkyI.html?page=17&pos=16&cur_pos=16&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=359,"5-bedroom DUPLEX SELF-CONOUND 2nd gate, Lekki. Basic amenities with BQ and security house.
- 6m per year 
- Self-serviced
- Good electricity 
- Kitchen Fully fitted, self-compound, bq
Legal 10%
Agency 10%
Caution 10%
by 2nd toll gate lekki Lagos.
All rooms ensuite
Marble floors
Italian tiles in the kitchen and bathrooms
Spacious parking
Personal garden space
2 balconies 
Water heaters 
Tiled room 
Secured estate 
Etc",Chevron toll gate,Fairly Used,Unfurnished,Duplex,5 bedrooms,5 bathrooms,Oral estate,"400
     
      sqm",,,,600000,600000,600000,1800000,,,,,,,,,
"4bdrm Duplex in Banana Island, Ikoyi for Rent", 15000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/4bdrm-duplex-in-banana-island-ikoyi-for-rent-oC2CA7ikpFM1XlCaO5FCZCHx.html?page=17&pos=19&cur_pos=19&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=362,"*neat and well , serviced 4 bedroom semi detached duplex with bq, swimming pool and gym.*
location; banana island 
rent;15m
service charge; 4m (diesel inclusive) 
agency; 10%
legal; 5%
refundable caution ; 1m
semi direct brief","Banana Island, Ikoyi",Fairly Used,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,Banana Island,"500
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Duplex in Lekki Phase 1 for rent, 11000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-phase-1-for-rent-3wOjohhehuF1w9RnaIs5Di9n.html?page=17&pos=22&cur_pos=22&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=365,"TO LET !! || 4BED ||  LEKKI PHASE 1 || 4 Bedroom Terrace Duplex for Rent
Location :  Lekki Phase 1, Lekki, Lagos
Rent : 11m per annum 
Other charges:
Agency: 10%
Legal: 10%
Caution: 1,000,000
Total: 14,200,000
Features:
All rooms En-suite 
| POP Ceiling 
| Large Living Area 
| Dinning Area 
| Fitted Kitchen 
| Heat Extractor 
| Water heater
| High Ceiling 
| Kitchen Store 
| Large Master’s Room 
| Walk-InShower 
| Bathtub",Lekki Phase 1,Renovated,Unfurnished,Duplex,4 bedrooms,5 bathrooms,Lekki Phase 1,"250
     
      sqm",,,,,1100000,1000000,,,,,,,,,,
"4bdrm Duplex in 4Bedroom Semi, Lekki for rent", 85000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-4bedroom-semi-lekki-for-rent-42yGUdL2uVMz2LBSg4Iy6QIm.html?page=18&pos=2&cur_pos=2&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=367,"4bedroom Semi detached duplex for sale
Location: Osapa London/Agungi
Price 75m 
Title: Governors concent",Chevron lekki,Fairly Used,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,4bedroom Semi detached duplex,"1000
     
      sqm",,,,,,,,,,,,,,,,
"4bdrm Apartment in Arorinde Kigali, Ligali Ayorinde for rent", 12000000,"Victoria Island, Ligali Ayorinde",https://jiji.ng/ligali-ayorinde/houses-apartments-for-rent/4bdrm-apartment-in-arorinde-kigali-ligali-ayorinde-for-rent-ff7FsyJKnzSJbCBWuccFuo0I.html?page=18&pos=5&cur_pos=5&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=370,10 unity of 4 bedroom terrace house newly built services apartments all rooms in suite with BQ and Water Heaters and well finished with large parking space rent for per annum.,Arorinde Ligali Street VI,Newly-Built,Unfurnished,Apartment,4 bedrooms,5 bathrooms,Arorinde Kigali Victoria Island,"1600
     
      sqm",,1000000,1000000,10,10,200000,,,,,,,,,,
"5bdrm Duplex in Chevron Second Toll, Lekki for rent", 6000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/5bdrm-duplex-in-chevron-second-toll-lekki-for-rent-wcTEIhqsmMaEb9gB2N3AKP0e.html?page=18&pos=10&cur_pos=10&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=375,"Newly built 5 bedrooms fully detached duplex with BQ in side very secured estate at chevron second toll gate is available for rent.
Annual rent 6m
agency 600k
legal 600k
Caution 600k",Chevron second toll gate,Newly-Built,Unfurnished,Duplex,5 bedrooms,5 bathrooms,chevron second toll gate,"1000
     
      sqm",,,,,,,,,,,,,,,,
3bdrm Apartment in Lekki for Rent, 5000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/3bdrm-apartment-in-lekki-for-rent-girpCg1QWiARiDin9MOP7EsL.html?page=18&pos=12&cur_pos=12&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=377,"Brand new luxury service 3 bed apartment
features:
fitted kitchen
clean water
interlock compound
ocean breeze vicinity
ample compound
pop ceiling
tiled floor",off Admiralty way,,Unfurnished,Apartment,3 bedrooms,4 bathrooms,,,,,,,,,,,,,,,,,,
"5bdrm Duplex in Chevron, Lekki for Rent", 6500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/5bdrm-duplex-in-chevron-lekki-for-rent-86rEaSPGRRQccYmudqK18usv.html?page=18&pos=15&cur_pos=15&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=380,"5 BEDROOM DETACHED DUPLEX FOR RENT! ( Back House )
Location: Chevron , Lagos
Rent: 6.5m per annum ( without furnitures)
Other charges:
- Agency 10%
- Legal. 10%
- Caution 10%
- Total package : 8,450,000
 
Features
- Secure Estate 
- All Rooms Ensuite
- Inbuilt Speakers 
- Fitted kitchen
- Pop Ceiling 
- Water heater
- Car Port 
- Walk-in-Shower 
- Jacuzzi
- Inverter 
- Interlocked floor 
•","chevron, Lekki",Newly-Built,Semi-Furnished,Duplex,5 bedrooms,5 bathrooms,Chevron,"450
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Duplex in Ikota for rent, 6000000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-duplex-in-ikota-for-rent-n9k4xBuCUz6D9zTMyZq3ScJn.html?page=18&pos=19&cur_pos=19&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=384,"Luxurious 4BED Detached Duplex for Rent 
Location: Ikota, Lekki, Lagos.
Amenities 
All rooms en-suite 
Parking Lot 
Fitted Kitchen 
 Secured Estate
24hrs Security
Great Neighbor
Self Serviced 
Price: 7million Naira per Annum
Caution: 10%
Agency fee: 10%
Legal fee: 10%
Total package: 9.1 Million Naira",Ikota,Fairly Used,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,"300
     
      sqm",,,,,,,,,,,,,,,,
5bdrm Townhouse / Terrace in Lekki for rent, 8500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/5bdrm-townhouse-terrace-in-lekki-for-rent-fG1yTcwOWxDHmBHxGl8xLT1A.html?page=18&pos=21&cur_pos=21&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=386,"FOR RENT! 
Lovely 5 Bedroom Terrace Duplex
Location - Ikate, Lekki
Service Charge - Yet to be decided 
Agency - 10%
Legal - 10%
Caution - 10%
Property Features:
- [x] Fully Serviced
- [x] 24hrs Security 
- [x] Gym
- [x] BQ
- [x] Bathtub 
- [x] Room ensuite 
- [x] Upstairs
- [x] Balcony 
- [x] Visitors toilet 
- [x] Fitted Kitchen
- [x] Very Secured Estate 
- [x] Ample Parking Space 
- [x] Wardrobe 
- [x] Kitchen cabinet",Ikate,Newly-Built,Semi-Furnished,Townhouse / Terrace,5 bedrooms,6 bathrooms,,"500
     
      sqm",Semi-Detached,,,,,,,,,,,,,,,
4bdrm Duplex in Victoria Island Extension for rent, 11500000,"Victoria Island, Victoria Island Extension",https://jiji.ng/victoria-island-extension/houses-apartments-for-rent/4bdrm-duplex-in-victoria-island-extension-for-rent-B3QAUeEr3SX8ZBAaNoN92pZr.html?page=19&pos=5&cur_pos=5&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=391,"This property is self service so no Service Charge. 4 bedroom, Oniru",Oniru,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,"500
     
      sqm",,,,,,,,,,,,,,,,
"Furnished 4bdrm Townhouse / Terrace in Chevron Alternative, Lekki", 5000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/furnished-4bdrm-townhouse-terrace-in-chevron-alternative-lekki-uIMGZJuBJ1SHG8N6PLLyMgxG.html?page=19&pos=8&cur_pos=8&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=394,"*fully furniised 4bedroom terrace duplex for rent in chevron alternative*
rent5m 
legal10%
agency10%

#emauch#","Chevron alternative, Lekki",Fairly Used,Furnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,Chevron alternative,"300
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Duplex in Phase 1 for rent, 12000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/4bdrm-duplex-in-phase-1-for-rent-BX2Q2lrAac40XEkuny0xOpTk.html?page=19&pos=11&cur_pos=11&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=397,"To Let 
4 bedroom detached duplex with a green area space at the back. 
Location: 
Off Chief Collins, lekki phase 1. 
Rent: 12m per annum 
Message us today to rent it",Off chief Collins street,Renovated,Unfurnished,Duplex,4 bedrooms,4 bathrooms,Phase 1,"500
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Duplex in Lekki Scheme2 Estate for rent, 3700000,"Ajah, Abraham Adesanya Estate",https://jiji.ng/abraham-adesanya-estate/houses-apartments-for-rent/4bdrm-duplex-in-lekki-scheme2-estate-for-rent-ku9Y3i7ewJP3a7hkB5Smd2Ph.html?page=19&pos=14&cur_pos=14&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=400,4bedroom semi detached duplex is available now for rent at Lekki scheme2 estate alone in compound,Lekki scheme2 estate,Fairly Used,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,Lekki scheme2 estate,"350
     
      sqm",,10,10,10,10,10,30,,,,,,,,,
Furnished 3bdrm Apartment in Prime Water Garden for rent, 8000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/furnished-3bdrm-apartment-in-prime-water-garden-for-rent-iui5HbUsJAp6F7lxcrDtfUDM.html?page=19&pos=17&cur_pos=17&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=403,"3 Bedroom Furnished Apartment
 Primewater Gardens Phase 2, Off Freedom Way. 
Rent: 8M
Service Charge: 500,000.00
Agency:10%
Caution: 500,000.00
Total: 9,","Prime water garden phase 2, off Freedom way, Lekki phase 1",Newly-Built,Furnished,Apartment,3 bedrooms,4 bathrooms,Prime water garden phase 2,"150
     
      sqm",,,,,,,,,,,,,,,,
"4bdrm Duplex in Off Chief Collins, Lekki Phase 1 for rent", 12000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/4bdrm-duplex-in-off-chief-collins-lekki-phase-1-for-rent-sIE28f9cVN4BPnkLaDCmQrPo.html?page=19&pos=20&cur_pos=20&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=406,"URGENT LEASE
Direct Instruction 
4 bedroom detached duplex with a green area space at the back. Can park up to 3 cars. off Chief Collins, Lekki phase 1.p.a
Agency fee 
Agreement 
Caution fee 
#Otunb#","Off chief Collins, Lekki phase 1",Fairly Used,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,Off chief Collins,"350
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Duplex in Chevron Alternative for rent, 6500000,"Lekki, Chevron",https://jiji.ng/chevron/houses-apartments-for-rent/4bdrm-duplex-in-chevron-alternative-for-rent-7ASmX2CQAaAenuevDiwz0Qll.html?page=20&pos=1&cur_pos=1&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=408,"JUST OUT  
Above is the pictures of Spacious 4 Bedroom Semi-detached Duplex in Jade Ville Estate, Chevron Alternative Route For Rent
Rent: N6.5m
Agency: 10%
Legal: 10%
Refundable Caution Deposit: 10%
Estate Due: To be Decided",Alternative,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,Chevron alternative,"400
     
      sqm",,,,,,,,,,,,,,,,
"4bdrm Duplex in Ikota, Lekki for rent", 8000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-ikota-lekki-for-rent-uYjS72x9ZuqXEzLlgsUwBO1k.html?page=20&pos=3&cur_pos=3&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=410,4 bedroom duplex at Ikota client must be willing to pay 2 years A/A/C 10%,Ikota,Fairly Used,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,Ikota,"600
     
      sqm",,,,800000,800000,800000,2400000,,,,,,,,,
4bdrm Townhouse / Terrace in Banana Island for rent, 30000000,"Ikoyi, Banana Island",https://jiji.ng/banana-island/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-banana-island-for-rent-eRYCp2ZB9ztxrgiii5AacDnq.html?page=20&pos=6&cur_pos=6&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=413,"FOR RENT!!
4Bedroom Terrace Duplex 
Location: Banana Island,Ikoyi,Lagos 
RENT : 30 Million Niara
Agency: 10%
Legal : 7.5%
Caution : 2million 
Service charge/Power deposit: 5m/annum
 Features:
- 24hrs Power
- All Rooms Ensuite
- Fitted Kitchen
- Fully Furnished 
- Pop Ceiling
- Water Heater
- Water Treatment 
- Walking Shower
- 24 Hours Security","Banana Island, Ikoyi, Lagos State.",Newly-Built,Semi-Furnished,Townhouse / Terrace,4 bedrooms,4 bathrooms,,"450
     
      sqm",Semi-Detached,5000000,"Service charge, and power deposit.",3000000,2250000,2000000,7250000,,,,,,,,,
4bdrm Duplex in Osapa London for Rent, 6000000,"Lekki, Osapa london",https://jiji.ng/osapa-london/houses-apartments-for-rent/4bdrm-duplex-in-osapa-london-for-rent-uIHMy7lJALEORzLBvpCbHOfQ.html?page=20&pos=9&cur_pos=9&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=416,"4 Bedroom Semi-Detached Duplex with a BQ 
Rent: 6M.
Caution: 300,000
Self serviced 
Location:Osapa London, Lekki. Lagos.","Osapa London, Lekki. Lagos.",Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,"350
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Duplex in Lekki for rent, 4000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-rf09DP5Lr0yREMA6zb3T6X0j.html?page=20&pos=12&cur_pos=12&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=419,"4BEDROOM TERRACE DUPLEX FOR RENT
Location: 2nd tollgate Lekki, Lagos
Amenities 
Modern fittings
All rooms en-suite 
Luxury lightings
Parking Lot 
Fitted Kitchen 
 Secured Estate
Price : 4million Naira Per Annum 
Agency - 10% 
Legal - 10%
Caution - 10%
Service Charge: 50k monthly",2nd toll gate,Fairly Used,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,"300
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Duplex in Lekki Expressway for rent, 5000000,"Lekki, Lekki Expressway",https://jiji.ng/lekki-expressway/houses-apartments-for-rent/4bdrm-duplex-in-lekki-expressway-for-rent-iyAYT350ukRXQf7evEVi4Stp.html?page=20&pos=16&cur_pos=16&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=423,Newly built 4 bedroom apartment with bq available for rent at orchid.,orchid lekki,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,"2000
     
      sqm",,,,,,,,,,,,,,,,
"4bdrm Duplex in Chevron, Lekki for Rent", 5500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-chevron-lekki-for-rent-eR6p7L2Zll22o9Bcy7GXlRPU.html?page=20&pos=19&cur_pos=19&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=426,"Available for rent. 
Newly built 4 bedroom semi-detached duplex in Chevron, Lekki lagos.
 Rent 5.5m, 
agency 10%
 legal 10% 
caution 5%","chevron, Lekki",Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,chevron,,,,,,,,,,,,,,,,,
