name,price,location,link,Description,Property Address,Estate Name,Property Size,Condition,Furnishing,Attribute_1,Attribute_2,Attribute_3,Service Charge Fee,Service Charge Covers,Agency Fee,Legal and Agreement Fee,Caution Fee,Total Fee,Subtype,Pets,New Property,Total Rooms,Parking Space,Broker Fee,Furnished
5bdrm Duplex in Ikoyi for rent, 25000000,"Ikoyi, Old Ikoyi",https://jiji.ng/old-ikoyi/houses-apartments-for-rent/5bdrm-duplex-in-ikoyi-for-rent-7SUC3XRiuyil6hoab1xZhgbg.html?page=12&pos=11&cur_pos=11&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=262,"*to let*
lovely five(5) bedroom semi detach duplex ( with self compound) and a maid quarters for lease in ikoyi.
rent: 25m ( 2yrs)
agency: 10%
legal: 10%
caution: ??
jb",Ikoyi,Ikoyi,500sqm,Fairly Used,Semi-Furnished,Duplex,5 bedrooms,5 bathrooms,,,,,,,,,,,,,
4bdrm Townhouse / Terrace in Lekki for rent, 12000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-lekki-for-rent-vcotrGRxKEqcgbPEBInN1rxh.html?page=12&pos=13&cur_pos=13&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=264,"FOR RENT! 
Lovely 4 Bedroom Terrace Duplex & 3 Bedroom Penthouse 
Location- Lekki Phase One, Lagos
Rent
4 Bedroom Terrace Duplex -N12million per annum
3 Bedroom Penthouse -N15m per annum 
Service Charge -N1,500,000
Diesel Deposit -N1,500,000
Caution -N1,000,000
Agency - 10% 
Legal - 10%
Property Features: 
  Room ensuite 
  Visitors toilet 
 Fitted Kitchen
  Very Secured Estate 
  24hrs Security 
  Elevator 
  Gym
  Ample Parking Space 
  Wardrobe 
  Kitchen cabinet
 For more information and enquiries070XXXXXXXX",Lekki Phase One,,500sqm,Newly-Built,Semi-Furnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,,,,,,,Semi-Detached,,,,,,
3bdrm Duplex in Lekki County for rent, 4000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/3bdrm-duplex-in-lekki-county-for-rent-aYKaYsNpZ0sqxWMmadua1GBN.html?page=12&pos=16&cur_pos=16&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=267,"3bedroom duplex for rent at Megamound, Lekki county, ikota",Ikota,Lekki county,600sqm,Renovated,Unfurnished,Duplex,3 bedrooms,3 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in Chevron, Lekki for rent", 4500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-chevron-lekki-for-rent-driFJHJFLvhxyu7e6bgWc7MZ.html?page=12&pos=19&cur_pos=19&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=270,"Newly built 4Bedrooms Terrace duplex with excellent facilities in secured estate at chevron second toll gate is available for rent. 
Annual rent 4.5km
Agency 450k
Legal 450k 
Services charge 480k",Chevron second toll gate,Chevron,1000sqm,Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
5bdrm Duplex in Lekki for Rent, 7000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/5bdrm-duplex-in-lekki-for-rent-zKrmIm8uDfJpWRmRFL81R5YO.html?page=12&pos=22&cur_pos=22&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=273,"Spectacular 5 Bedroom Detached Duplex.
Location: Osapa London,
Lekki, Lagos. 
Opened for both residential or commercial use. Residential Rent: 7M per annum, 
Caution: 500,000
Legal: 10% and Agency: 10% 
Commercial Rent: 6M per annum.","Osapa London, Lekki. Lagos.",,600sqm,Fairly Used,Semi-Furnished,Duplex,5 bedrooms,5 bathrooms,,,,,,,,,,,,,
3bdrm Block of Flats in Agungi for rent, 3000000,"Lekki, Agungi",https://jiji.ng/agungi/houses-apartments-for-rent/3bdrm-block-of-flats-in-agungi-for-rent-2CFBaPRPfLdDmCormTzyS8Ts.html?page=13&pos=2&cur_pos=2&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=276,"Nicely Spaciously Built 3bed, in a Mini Estate in Agungi Close to the Express 
Rent: 3m
Service charge: 300k
Agency: 300k
Legal: 300k
Caution: 200k
Benob",Agungi,Agungi,500sqm,Fairly Used,Unfurnished,Block of Flats,3 bedrooms,3 bathrooms,,,,,,,,,,,,,
"Furnished 3bdrm Apartment in Oniru Estate, Victoria Island Extension", 12000000,"Victoria Island, Victoria Island Extension",https://jiji.ng/victoria-island-extension/houses-apartments-for-rent/furnished-3bdrm-apartment-in-oniru-estate-victoria-island-extension-3ptakqdzOLtTADokZtB0D0IA.html?page=13&pos=5&cur_pos=5&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=279,"*TO LET*
Fully furnished and Serviced 3 bedroom Apartment with BQ and a pool.
Location: Oniru Estate, off Palace, Victoria Island, Lagos.
Rent:12m per annum
Service Charge:  per annum.
Caution fee- 
Agenc 
Legal - 

Chris",Oniru Estate off Palace rd,Oniru Estate,1000sqm,Fairly Used,Furnished,Apartment,3 bedrooms,3 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Victoria Island Extension for rent, 10000000,"Victoria Island, Victoria Island Extension",https://jiji.ng/victoria-island-extension/houses-apartments-for-rent/4bdrm-duplex-in-victoria-island-extension-for-rent-wpi1wlTZIekBfOts4fCuNPPj.html?page=13&pos=7&cur_pos=7&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=281,"Electricity (national grid & generator) is 24/7, on pay-as-you-use basis at ₦200/kWh, purchased in the multiples of ₦50,000.",Oniru,,500sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
"4bdrm Townhouse / Terrace in Ikate, Lekki for rent", 9000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-ikate-lekki-for-rent-paLQnLUERSHbFswO8vj5KKHt.html?page=13&pos=10&cur_pos=10&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=284,"TO LET !! || 4BED TERRACE DUPLEX ||  IKATE LEKKI 
4 Bedroom Terrace Duplex for Rent
Location :  ikate , Lekki, Lagos
Other charges:
Agency: 
Legal:
Caution: 
Service Charge: 
Total: 
Rent-luxury",Ikate,Ikate,300sqm,Newly-Built,Unfurnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,1200000,,900000,900000,900000,2700000,Semi-Detached,,,,,,
3bdrm Maisonette in Ikoyi for rent, 12000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/3bdrm-maisonette-in-ikoyi-for-rent-fG1EJwqMxjk8F2AfAfNfbspU.html?page=13&pos=13&cur_pos=13&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=287,"For Lease
Smart Home: 3-Bed Maisonate:
Oven 
Burner
Washing machine 
AC
Window shutter
Refrigerator 
Water heater
Wardrobe 
Gym
Swimming pool 
1 BQ",Ikoyi,,150sqm,Newly-Built,Semi-Furnished,Maisonette,3 bedrooms,4 bathrooms,,,,,,,,,,,,,
"2bdrm Apartment in Oniru Estate, Victoria Island Extension for rent", 10000000,"Victoria Island, Victoria Island Extension",https://jiji.ng/victoria-island-extension/houses-apartments-for-rent/2bdrm-apartment-in-oniru-estate-victoria-island-extension-for-rent-iybfi6M5xR7bNpyDj5kfJoqa.html?page=13&pos=16&cur_pos=16&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=290,"_1 unit of 2bedroom apartment available for rent_
location in a secured serviced estate at oniru v.island
rent : n10 million
agency : 10% 
legal : 10%
caution : 800k
s.charge : n319k per quarter 
*note: strictly residential (shortlet / commercial purpose not allowed)*",Oniru,Oniru Estate,400sqm,Fairly Used,Unfurnished,Apartment,2 bedrooms,2 bathrooms,,,,,,,,,,,,,
3bdrm Apartment in Ikate-Lekki for rent, 5000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/3bdrm-apartment-in-ikate-lekki-for-rent-hGI9IYSgc9DMg8odU3QprZ0Q.html?page=13&pos=20&cur_pos=20&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=294,"Newly refurbished 3bedrooms Apartment with Bq excellent facilities in secured estate at Ikate Lekki is available for rent. 
Annual rent",Ikate Lekki,Ikate-Lekki,1000sqm,Renovated,Unfurnished,Apartment,3 bedrooms,3 bathrooms,,,,,,,,,,,,,
3bdrm Block of Flats in Banana Island for rent, 16000000,"Ikoyi, Banana Island",https://jiji.ng/banana-island/houses-apartments-for-rent/3bdrm-block-of-flats-in-banana-island-for-rent-hDKj2KlnVUA4Fv8Cg5EUhroL.html?page=13&pos=22&cur_pos=22&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=296,"*semi direct brief*
for rent
*3-bedroom apartments* _with bq on ground floor, a waterfront property_
amenities:- _fully fitted kitchen (with cooking gas, microwave, oven ), laundry room, wardrobes, pool, gym, gen, water, ample parking space, 24hr power, 24hr facilities personal men, 24hr security personnel on site_... so much more
location:- *banana island ikoyi lagos*
rent *ngn 15m* (let have your offer )
service charge: 3.5m
caution fee: 500k
reserve fund: 750k
agency: 10%
legal : 5%
*kindly note: pet are not permitted on the property*
pictures available on request
- 
for more inquiries or schedule inspections
 
 or 
tony / 0 812 725/ barklyprop",banana island,banana island,1000sqm,Newly-Built,Semi-Furnished,Block of Flats,3 bedrooms,3 bathrooms,3500000,reserve funds 750000,,,,,,,,,,,
3bdrm Apartment in Ikoyi for rent, 20000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/3bdrm-apartment-in-ikoyi-for-rent-kk6pNzAxapeg6YsE4Pd9Iif6.html?page=14&pos=2&cur_pos=2&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=299,"Brand newly built serviced luxury 3bedrooms apartment with pool gym bq for rent.
location: banana island estate ikoyi lagos.
rent:20m per annum
 service charge deposit: 6m(diesel inclusive)
legal fee: 5%
caution fee:  
agency fee: 10%
 *description:*
- superb unconventional architecture
- swimming pool
- gymnastics
- ample parking 
- beautiful lighting 
- fitted kitchen
- family lounge
- top quality wardrobes
- stairway lights
- stamp concrete floor
- dining area
- luxury sanitary wares
- boy's quarters
- secure estate
- great neighbourhood","Banana Island, Ikoyi.",,1200sqm,Newly-Built,Unfurnished,Apartment,3 bedrooms,3 bathrooms,,,,,,,,,,,,,
"5bdrm Duplex in Secured Estate, Banana Island for rent", 70000000,"Ikoyi, Banana Island",https://jiji.ng/banana-island/houses-apartments-for-rent/5bdrm-duplex-in-secured-estate-banana-island-for-rent-Cx4CaelMXePb0UOBcj8G0SV6.html?page=14&pos=5&cur_pos=5&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=302,"FOR LEASE: IN BANANA ISLAND:*
Exquisitely built luxurious 5 bedroom (all ensuite) fully detached houses with lavishly spacious master's and madam's bedrooms
Ante, 
Living room,
Family lounge
Elevator, 
Large fully fitted kitchen,
1 room bq
Solar power as backup etc.
Located in a mini estate of 5 units in banana island Ikoyi .
 
Rent: N70m per annum
... $+h•°",Banana Island,Secured estate,500sqm,Newly-Built,Unfurnished,Duplex,5 bedrooms,7 bathrooms,,,,,,,,,,,,,
2bdrm Block of Flats in Isheri / Egbe Idimu for rent, 1200000,"Egbe/Idimu, Isheri / Egbe Idimu",https://jiji.ng/isheri/houses-apartments-for-rent/2bdrm-block-of-flats-in-isheri-egbe-idimu-for-rent-mAhcDSCGEXIVH3qbST7cxyzN.html?page=14&pos=8&cur_pos=8&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=305,Newly built 2 bedroom flat with all rooms ensuite with visitors toilet .It is located off hotel bus stop lasu iba expressway . It is a secured and serene environment,Hotel bus stop,,477sqm,Newly-Built,Unfurnished,Block of Flats,2 bedrooms,3 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in Ologolo Estate, Lekki for Rent", 5000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-ologolo-estate-lekki-for-rent-2WhTr37UYi3x1mX7vhWcIT9.html?page=14&pos=11&cur_pos=11&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=308,"Four bedroom Semi- Detached house available for rent / Sale !!
Ologolo Lekki 
Breakdown 
Price - 100 M 
Rent - 5 M 
Agency- 10 p 
Legal - 5 p 
Caution- 300 k 
Enquirers/ Inspection",Ologolo,Ologolo Estate,600sqm,Newly-Built,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,Pets Allowed,,,,,
3bdrm Apartment in Ikoyi for rent, 13000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/3bdrm-apartment-in-ikoyi-for-rent-5pFmFaBDFn20NOrt6V4x0OO0.html?page=14&pos=15&cur_pos=15&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=312,"3 BEDROOM APARTMENT FOR RENT (3rd floor)
Location: IKOYI
Rent: 10%
Agency: 5%
Caution: 1m
Legal: 5%
Service charge: 6M (Diesel inclusive)
Total Package: 21,950,000
Features:
All room ensuite
24hours security
20 hours electricity
Interlocked floor
BQ
Pop ceiling
Water heater
Swimming pool
Gym
Fully serviced",IKOYI,,450sqm,Newly-Built,Unfurnished,Apartment,3 bedrooms,3 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Osborne Ikoyi for rent, 20000000,"Ikoyi, Osborne Foreshore Estate",https://jiji.ng/osborne-foreshore-estate/houses-apartments-for-rent/4bdrm-duplex-in-osborne-ikoyi-for-rent-ASeE0fkMsMxB2DFGjwe41BB4.html?page=14&pos=19&cur_pos=19&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=316,"*Newly Built serviced Two 4 Bedroom & One 3 Bedroom Terrace duplex inside a secured Estate in Osborne
* 24/7 Electricity Supply And Security 
* Clean Water Running 
* All Routes Interlocked 
*Spacious Compound 
* Serene Environment 
 PROPERTIES FOR LETTING
(1)	A 4 Bedroom terrace duplex with 1room BQ @ Osborne Phase 2, Ikoyi, 	Lagos
	Rent: N20million
 
(2)	A 3 Bedroom with a room BQ @ Osborne Phase 2, Ikoyi, Lagos
	Rent: N15million.",Osborne,Osborne Ikoyi,900sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,2500000,Maintenance,,,,,,,,,,,
"4bdrm Duplex in Ologolo Estate, Lekki for rent", 7000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-ologolo-estate-lekki-for-rent-37VBfrlNssTBChNvGgM1i2F8.html?page=14&pos=20&cur_pos=20&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=317,"Newly built 4Bedrooms Fully Detached Duplex with Bq at Ologolo is available for Rent. 
Annual rent 7million 
agency 700k
Legal 700k
Caution 700k",Ologolo Estate,Ologolo Estate,1000sqm,Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in Ikota, Lekki for Rent", 5000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-ikota-lekki-for-rent-8tUWNevbI98tV69pwkyCz6kD.html?page=14&pos=23&cur_pos=23&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=320,"FOR SALE 
4Bedroom Fully Detached With a Bq 
Location: Ikota 
Rent: 5Million
Agency: 10%
Legal: 10%
Caution: 400k","Ikota, Lekki",Ikota,500sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
Furnished 4bdrm Duplex in Osapa London for rent, 8000000,"Lekki, Osapa london",https://jiji.ng/osapa-london/houses-apartments-for-rent/furnished-4bdrm-duplex-in-osapa-london-for-rent-mm50TA39RcHGm0TxVOEWS4Jy.html?page=15&pos=4&cur_pos=4&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=324,"*value centric furnished 4 bed fully detached duplex with bq london, lekki*
- decently spaced
- modern contemporary architecture 
- ante room
- spacious living room
- spacious master's bedroom
- walk-in closet
- spacious fully equipped kitchen with pantry
- stamp concrete floor
- astonishing woodwork
- cctv surveillance 
- gorgeous lightings 
-air conditions
-snoker 
-jacuzi
- ample parking
- boy's quarters
- family lounge
- secure estate
- great neighbourhood 
etc... 
*location:*osapa london, lekki
rent amount: 8,000,000 naira
caution deposit: 10% of the rent
legal fee: 10% of the rent
agency fee: 10% of the rent
total amount due: 10,400,000 naira
no other hidden charges 
please note that estate management dues would have to be covered by the tenant outside of these costs.
thanks",4 BEDROOM FURNISHED DUPLEX WITH A BQ IN OSAPA LONDON,OSAPA LONDON,350sqm,Newly-Built,Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Victoria Island for rent, 10000000,Victoria Island,https://jiji.ng/victoria-island/houses-apartments-for-rent/4bdrm-duplex-in-victoria-island-for-rent-x3qfXugbbIWtZUlYYuzqJUf2.html?page=15&pos=6&cur_pos=6&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=326,"Fully Service 4Bedroom Semi-Detached Duplex
Amenities:
- [ ]Tennis courts
- [ ] Children's playground
- [ ]Interlock floor, 
- [ ]24hrs electricity 
- [ ]Security
- [ ]Ample parking space at Victoria Island
- [ ] BQ 
- [ ] Swimming pool",Victoria Island,,500sqm,Fairly Used,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
"Furnished 2bdrm Block of Flats in Sunshine Garden, Lekki for rent", 2500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/furnished-2bdrm-block-of-flats-in-sunshine-garden-lekki-for-rent-kmSx35Sr95Ef6PE8BIE7JBRC.html?page=15&pos=9&cur_pos=9&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=329,Brand New Standard 2bedroom Apartment all rooms ensuit well furnished standard wardrobes with nice modern fittings fitted kitchen with gas cooker heat extractor microwave etc well paved compound with enough parking space in a serene environment tared and secured estate.,Ajah Lekki,Sunshine Garden Estate,35sqm,Newly-Built,Furnished,Block of Flats,2 bedrooms,3 bathrooms,,,,,,,,,,,,,
"5bdrm Duplex in Osapa London, Lekki for Rent", 10000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/5bdrm-duplex-in-osapa-london-lekki-for-rent-4sGC7ZxRb0oGTalg1rcz6nO.html?page=15&pos=13&cur_pos=13&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=333,"*RENT*
 
 purpose- Residential or Commercial
 *HOUSE TYPE* : 
5 bedrooms all ensuite with swimming pool, Refrigerator, Car Park etc.
 *LOCATION* : Osapa
 *PRICE* : 10m annually
Legal: 5%
Agency: 10%
Caution fee: 500k
Service charge: self service","Osapa London, Lekki",Osapa London,,Newly-Built,Semi-Furnished,Duplex,5 bedrooms,5 bathrooms,,,,,,,,,,,,,
2bdrm Block of Flats in Ibeju for rent, 750000,Ibeju,https://jiji.ng/ibeju/houses-apartments-for-rent/2bdrm-block-of-flats-in-ibeju-for-rent-BJrX52B6C9tHxi7KxpmgGzHA.html?page=15&pos=16&cur_pos=16&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=336,"2 bedrooms apartment ""TO LET"" in ABULEPANU",ABULEPANU,,200sqm,Fairly Used,Semi-Furnished,Block of Flats,2 bedrooms,2 bathrooms,,,,,,,,,,,,,
3bdrm Maisonette in Victoria Island for Rent, 12000000,Victoria Island,https://jiji.ng/victoria-island/houses-apartments-for-rent/3bdrm-maisonette-in-victoria-island-for-rent-CbR74uXsIKCazGI354xSmQgM.html?page=15&pos=19&cur_pos=19&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=339,"Semi direct brief 
3 bedroom maisonette with a room bq in victoria island 
rent;12m
service charge; 1.5m
agency; 10%
legal; 10%
caution; 500k
power is apy as you go",Victoria Island,,150sqm,Newly-Built,Semi-Furnished,Maisonette,3 bedrooms,4 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Lekki for rent, 12000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-1nJD2n7M2QZbaRqoJFsFB8eK.html?page=15&pos=22&cur_pos=22&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=342,"Luxurious 4 bedroom semi detached duplex with one room bq within a beautiful estate off admiralty way, lekki phase 1.
High class Neighbours and Neighbourhood
Swimming Pool
Gym
Clean water
24 hours security
Large play area for children and adult
Large back space for gardening",Lekki phase 1,,,,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Ikate for rent, 10000000,"Lekki, Ikate",https://jiji.ng/ikate/houses-apartments-for-rent/4bdrm-duplex-in-ikate-for-rent-dfkryGvXZ7hV59lE6CFc90YD.html?page=16&pos=2&cur_pos=2&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=345,"Elegantly Built Luxury 4bedrooms Semi Detached Duplex with BQ For Rent
 Location: Ikate Off Freedom Way Lekki Lagos
 Agency: 10%
Legal: 10%
Caution Deposit: 10%
 *Description:*
- All Rooms Ensuite
- Stable Power Supply
- 24 Hours Security
- Fitted kitchen
- Dinning Section
- Family Lounge
- Good Road
- Serene Environment
- Prime location
- Good neighborhood
- Clean Water
- Good drainage system","Ikate, Lekki phase 1.",,480sqm,Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
5bdrm House in Lekki Phase 1 for rent, 10000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/5bdrm-house-in-lekki-phase-1-for-rent-mEHAFL1OZNDEFgMGY5Zhyx7z.html?page=16&pos=3&cur_pos=3&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=346,"Beautiful Spacious Well Maintained 5bedrooms Semi Detached Duplex with one room Bq For Rent
 Location: Lekki Phase 1 Off Admiralty Road Lagos
Rent: N10M Per annum
*Note:* Term: 2 years Upfront Payment Required.
 Agency: 10%
 Legal: 10%",Lekki phase 1,,700sqm,Fairly Used,Unfurnished,House,5 bedrooms,5 bathrooms,,,,,,,Semi-Detached,,,,,,
3 Bedroom Luxury Apartments With Bq At Ikoyi, 8000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/3-bedroom-luxury-apartments-with-bq-at-ikoyi-hOHY938A2lOV5bLpB13DY9cR.html?page=16&pos=6&cur_pos=6&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=349,"3 bedroom luxury apartments with bq stylish and tastefully finished offering an exquisite, spacious and bright interior combining beautiful period features with stunning contemporary located at ikoyi off glover road,lkoyi, lagos
fully tile, granite and marble flooring
fitted modern separate kitchen with integrated units
store
3 bathrooms
all rooms en-suites
visitor toilet
interlocking paving blocks
inbuilt wardrobe
drive way for about 20 cars
pop finishing
security house
1 room bq
gym
swimming pool
gym house,
lawn tennis court
gas cooker
a/c in all the rooms and kitchen, 2 in sitting room.",,,200sqm,,Unfurnished,Apartment,3 bedrooms,3 bathrooms,,,,,,,,,No,3,Yes,No,
"2bdrm Apartment in Nil, Surulere for rent", 1700000,Surulere,https://jiji.ng/surulere/houses-apartments-for-rent/2bdrm-apartment-in-nil-surulere-for-rent-14xeOwmjQ3mBJGjnq9FrLiZ8.html?page=16&pos=9&cur_pos=9&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=352,Brand new 2 Bedroom available in surulere. Very accessible to the island with water & light.,Lawanson axis,Nil,275sqm,Newly-Built,Semi-Furnished,Apartment,2 bedrooms,2 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in Beach View Estate, Lekki for Rent", 5000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-beach-view-estate-lekki-for-rent-cN4uOE7fhy06a2GKepnYg1Sz.html?page=16&pos=13&cur_pos=13&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=356,"4 bedroom duplex alone in the compound for rent
Rent: N5m
Location: Beach view estate igu-efor",Igu-efor,Beach View Estate,400sqm,Fairly Used,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in Ikota, Lekki for rent", 5000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-ikota-lekki-for-rent-8QBAw0hFpcRsZiOf8dj34szj.html?page=16&pos=17&cur_pos=17&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=360,"Xhisom 4 BEDROOM TERRACE DUPLEX FOR RENT! 
Location: Ikota, Lagos 
Rent: 5m per annum
Other charges:
- ﻿﻿Agency 10%
- ﻿﻿Legal. 10%
- ﻿﻿Caution 250k
- 
Service Charge : 700k p/a
Total Package : 6,950,000
Features
- ﻿﻿24 Hours Security
- ﻿﻿All Rooms Ensuite
- ﻿﻿Fitted Kitchen
- ﻿﻿Pop Ceiling
- ﻿﻿Water Heater
- ﻿﻿Walk-in-Shower
- ﻿﻿Stamp Concrete Floor
- Self Serviced","Ikota, lekki",Ikota,400sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
Luxury 5 Bedroom Semidetached Duplex Around Chevron for Rent, 4500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/luxury-5-bedroom-semidetached-duplex-around-chevron-for-rent-n0Hi2P6be9X9TNdvoo6jJoNg.html?page=16&pos=19&cur_pos=19&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=362,"Luxury 5 Bedroom semiditached duplex for rent around chevron Lekki.
its exceptional properties include.
- classic Living room
- Luminated step
- beautiful bedrooms

14mi12",Chevron,,,,Unfurnished,Duplex,5 bedrooms,5 bathrooms,,,,,,,,,,,,,
Furnished 4bdrm Townhouse / Terrace in Chevron Lekki for rent, 6000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/furnished-4bdrm-townhouse-terrace-in-chevron-lekki-for-rent-hKv4z1vvEVIPliNwYtHtL3cn.html?page=16&pos=22&cur_pos=22&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=365,"To let !! ||  chevron lekki || furnished 4 bedroom terrace duplex
for rent ! 
location:  chevron, lekki lagos
other charges :
agency 10%
legal 10%
features
- all rooms ensuite
- 24 hours security
- 24 hours electricity
- fully fitted kitchen
- stamp concrete floor
- 1 bq
- pop ceiling
- water heater
- walk in shower
- swimming pool
- jacuzzi
- inbuilt speakers
- fully serviced",Chevron Lekki,Chevron Lekki,2000sqm,Newly-Built,Furnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,65000,,600000,600000,500000,1700000,Semi-Detached,,,,,,
