name,price,location,link,Description,Property Address,Estate Name,Property Size,Condition,Furnishing,Attribute_1,Attribute_2,Attribute_3,Service Charge Fee,Service Charge Covers,Agency Fee,Legal and Agreement Fee,Caution Fee,Total Fee,Subtype,New Property,Total Rooms,Parking Space,Broker Fee,Furnished,Pets
"4bdrm Townhouse / Terrace in Salem-Ikate, Lekki for Rent", 7000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-salem-ikate-lekki-for-rent-v8Ucz5IoBnZeVS5CAOdiAvEq.html?page=13&pos=11&cur_pos=11&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=284,"4bedroom Duplex with bq at Salem-Ikate, Lekki 
 Rent :
Agency 10%,
Legal 10%
,Caution 10%
Service charge
Diesel deposit","Salem-Ikate, Lekki",Salem-Ikate,"350
     
      sqm",Newly-Built,Semi-Furnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
5bdrm Duplex in Lekki County for rent, 7500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/5bdrm-duplex-in-lekki-county-for-rent-k7vS7lRsoizTZZuG7xaKjCr6.html?page=13&pos=14&cur_pos=14&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=287,"TO LET
5 BEDROOM DETACHED DUPLEX FOR RENT! 
Location:  Lekki County, Lagos 
Rent: 7.5m per annum
Other charges:
- Agency 10%
- Legal. 10%
- Caution 10%
- Total package: 9,750,000
Features
- All Rooms Ensuite
- Inbuilt Speakers
- Fitted kitchen
- Pop Ceiling
- Water heater
- Stamp concrete
- Secure Estate
- Self Serviced",Lekki county,Lekki county,"200
     
      sqm",Newly-Built,Unfurnished,Duplex,5 bedrooms,5 bathrooms,,,750000,750000,750000,,,,,,,,
"4bdrm Duplex in Osapa, Lekki for Rent", 6500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-osapa-lekki-for-rent-fTJW7Htgiu5IlysOYqfyHyXC.html?page=13&pos=17&cur_pos=17&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=290,"Rental Listings 
*Serviced 4 Bedroom Semi Detached duplex in Serene Neighborhood*
Location: Osapa, Lekki 
Rent 6.5
Agency:10%
Legal:10%
Caution:500k 
Total package:8.3m 
Service charge:70k monthly","Osapa, Lekki",Osapa,"450
     
      sqm",Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in Beach View Estate, Lekki for Rent", 5000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-beach-view-estate-lekki-for-rent-cN4uOE7fhy06a2GKepnYg1Sz.html?page=13&pos=20&cur_pos=20&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=293,"4 bedroom duplex alone in the compound for rent
Rent: N5m
Location: Beach view estate igu-efor",Igu-efor,Beach View Estate,"400
     
      sqm",Fairly Used,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Lekki Phase 1 for rent, 12000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/4bdrm-duplex-in-lekki-phase-1-for-rent-cR3fUY9FkspDtCuDT37Ak2UN.html?page=14&pos=1&cur_pos=1&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=297,"Elegantly Built Luxury 4Bedroom Semi Detached Duplex with 2 Study Rooms & BQ For Rent
*Note:* For Residential Used Only.
Location: Lekki Phase 1 Off Admiralty Way Lagos
Rent: 12M Per annum
 Agency: 10%
Legal: 5%
Caution: 2 Million Naira.
 *Features:*
All Rooms Ensuite
Fully fitted kitchen.
Chandeliers.
Jacuzzi.
Microwave oven/heat extractor. 
Serene environment.
Balcony.
Well ventilated.
Spacious compound.
Wardrobe.","Off Admiralty way, Lekki phase 1.",,"600
     
      sqm",Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
3bdrm Apartment in Lekki for rent, 6500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/3bdrm-apartment-in-lekki-for-rent-aKu9NHxPqdylwczG2fjwQ364.html?page=14&pos=4&cur_pos=4&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=300,"*for cooperate tenant only*
*available letting at lekki phase 1*
*approve for shortlet investment*
 brand new 3units of 3 bedroom apartment with a bq in lekki phase 1, lekki, lagos
*features- 24 hours power, 24 hours security, beautiful fitted wardrobe, astonishing woodwork, great ambiance, gorgeous lightings, fitted air conditions, sparkling chandeliers, nice pop designs, balconies, ample parking space, lounge area
caution per flat x 3 
legal of the total rent
agency of total rent 
*for cooperate tenant to take all at once*",Lekki phase 1,,"1000
     
      sqm",Newly-Built,Unfurnished,Apartment,3 bedrooms,4 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Victoria Island Extension for rent, 11500000,"Victoria Island, Victoria Island Extension",https://jiji.ng/victoria-island-extension/houses-apartments-for-rent/4bdrm-duplex-in-victoria-island-extension-for-rent-B3QAUeEr3SX8ZBAaNoN92pZr.html?page=14&pos=6&cur_pos=6&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=302,"This property is self service so no Service Charge. 4 bedroom, Oniru",Oniru,,"500
     
      sqm",Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
3bdrm Duplex in Lekki County for rent, 4000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/3bdrm-duplex-in-lekki-county-for-rent-aYKaYsNpZ0sqxWMmadua1GBN.html?page=14&pos=9&cur_pos=9&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=305,"3bedroom duplex for rent at Megamound, Lekki county, ikota",Ikota,Lekki county,"600
     
      sqm",Renovated,Unfurnished,Duplex,3 bedrooms,3 bathrooms,,,,,,,,,,,,,
Furnished 3bdrm Duplex in Lekki Horizon Estate for rent, 15000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/furnished-3bdrm-duplex-in-lekki-horizon-estate-for-rent-fitVGl9JVgRPzzBToU1dxHdF.html?page=14&pos=12&cur_pos=12&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=308,"Luxury beach view 3 bedroom duplex with pool 
Location -Lekki Horizon, Ikate, Lekki
Features 
All rooms en suite
Executive bed with Orthopedic mattresses
House keeping services
Smart Tv's
WiFi
Netflix
Luxury kitchen 
Refrigerator
Washing machine
Fitted A. Cs in all rooms
Inverter
Serene environment
24/7 security 
Swimming pool
Water view
power supply 
Internet access
WiFi 
DStv
Family lounge
#orian#","Lekki horizon estate, ikate, Lekki",Lekki horizon estate,"250
     
      sqm",Newly-Built,Furnished,Duplex,3 bedrooms,4 bathrooms,,,,,,,,,,,,,
"2bdrm Apartment in Oniru Estate, Victoria Island Extension for rent", 10000000,"Victoria Island, Victoria Island Extension",https://jiji.ng/victoria-island-extension/houses-apartments-for-rent/2bdrm-apartment-in-oniru-estate-victoria-island-extension-for-rent-iybfi6M5xR7bNpyDj5kfJoqa.html?page=14&pos=16&cur_pos=16&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=312,"_1 unit of 2bedroom apartment available for rent_
location in a secured serviced estate at oniru v.island
rent : n10 million
agency : 10% 
legal : 10%
caution : 800k
s.charge : n319k per quarter 
*note: strictly residential (shortlet / commercial purpose not allowed)*",Oniru,Oniru Estate,"400
     
      sqm",Fairly Used,Unfurnished,Apartment,2 bedrooms,2 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Ikota for Rent, 5700000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-duplex-in-ikota-for-rent-z30fvAqGRqYTI7nSlG05vodc.html?page=14&pos=19&cur_pos=19&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=315,"4 bedroom duplex for Rent. Rent: 4.5M
Legal: 450,0000
Caution: 300,000
Total Package: 5.7M 
Location:Ikota G.R.A, Lekki, Lagos.","Ikota G.R.A, Lekki. Lagos.",,"35
     
      sqm",Fairly Used,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
Furnished 4bdrm Duplex in Lekki for rent, 5000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/furnished-4bdrm-duplex-in-lekki-for-rent-s5lcvuUAbAlyy8fK9Zc4oZ6l.html?page=14&pos=22&cur_pos=22&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=318,"*Fastest Finger*
Newly built & well serviced 4 bedroom semi detached duplex with a room BQ
Location - Orchid Road Lekki Lagos (Before the roundabout)
Rent - 5m
Agency 10%
Legal 10%
Caution 10%
Service charge 600k (yearlyehcu",Orchid Rd,,"350
     
      sqm",Newly-Built,Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
Furnished 4bdrm Duplex in Lekki Phase 1 for rent, 15000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/furnished-4bdrm-duplex-in-lekki-phase-1-for-rent-45PoQZUDQ5n2CRYmgFbYY6oR.html?page=15&pos=1&cur_pos=1&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=320,"to let
*for rent: fully furnished 4 bedroom terrace duplex + bq*
locationin an estate off freedom way, lekki phase 1
rent: n15million
agency: 10%
legal: 10%
caution: 2m
s.charge: n3.2million
power: n200/kw 
*features*:
all rooms ensuite
fully furnished
swimming pool
tennis court
children's playground
gym
fully automated and many more.
nb: shortlet is not allowed & furnitures won't be removed",Lekki phase 1,Lekki Phase 1,"500
     
      sqm",Newly-Built,Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
9 Bedroom Detached House With 3 Bq For Sale At Victoria Island Lagos, 12000000,Victoria Island,https://jiji.ng/victoria-island/houses-apartments-for-rent/9-bedroom-detached-house-with-3-bq-for-sale-at-victoria-island-lagos-8vxgTgLX5CneTmefiszzsRjB.html?page=15&pos=5&cur_pos=5&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=324,"Letting-a massive 9bedrooms detached house with 3 rooms bq.
Off ligali ayorinde street vi",,,,,Furnished,Duplex,9 bedrooms,5 bathrooms,,,,,,,,Yes,11+,Yes,Yes,,
2bdrm Apartment in Ikate for rent, 6000000,"Lekki, Ikate",https://jiji.ng/ikate/houses-apartments-for-rent/2bdrm-apartment-in-ikate-for-rent-llHbbj10s8GbFJasCoxyNiGp.html?page=15&pos=8&cur_pos=8&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=327,"- Each room comes with its own balcony and also the living room. 
- We Also accept using for shortlet but at 9M yearly. 
- Property comes with 3 AC’s","Ikate, Lekki, Lagos 🇳🇬.",,"90
     
      sqm",Newly-Built,Semi-Furnished,Apartment,2 bedrooms,2 bathrooms,1500000,"N500,000 for lawma disposals, compound cleaning, security etc while N1,000,000 is diesel deposit!",600000,600000,1000000,2200000,,,,,,,
4bdrm Townhouse / Terrace in Ikoyi for rent, 15000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-ikoyi-for-rent-BDOSQpRWbyby88zEfTDukOlJ.html?page=15&pos=11&cur_pos=11&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=330,"FOR RENT! 
Lovely 4 Bedroom Terrace Duplex 
Location- Ikoyi, Lagos
Agency - 10% 
Legal - 10%
Property Features:
- [x] Room ensuite 
- [x] ACs
- [x] Just 3 Occupants
- [x] Wated Heater
- [x] Visitors toilet 
- [x] Fitted Kitchen
- [x] Very Secured Estate 
- [x] Ample Parking Space 
- [x] Wardrobe 
- [x] Kitchen cabinet
For more information and enquiries",Ikoyi,,"500
     
      sqm",Newly-Built,Semi-Furnished,Townhouse / Terrace,4 bedrooms,4 bathrooms,,,,,,,Semi-Detached,,,,,,
"4bdrm Duplex in Beachview Estate, Lekki for Rent", 5000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-beachview-estate-lekki-for-rent-gfRUCmsFkKfxLoFzka3ieaMc.html?page=15&pos=14&cur_pos=14&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=333,"Tolet 
Fully detached 4 bedroom duplex alone in the compound at Beachview estate igboefon, Lekki 
Rent : 5million
Agency fee 10%
Agreement 10%
Caution fee 300k","Beachview estate, igboefon, Lekki",Beachview estate,"450
     
      sqm",Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
3bdrm Maisonette in Lekki Phase 1 for rent, 8000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/3bdrm-maisonette-in-lekki-phase-1-for-rent-AQ6v8oM7qD2jBtEVKXHOLW92.html?page=15&pos=17&cur_pos=17&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=336,"3bedroom duplex maisonette + BQ
Location: Lekki Phase 1, Oniru 
Rent: 8m
Service charge: 2m
ALC: 10 each",Lekki phase 1 oniru axis,,"500
     
      sqm",Fairly Used,Unfurnished,Maisonette,3 bedrooms,3 bathrooms,2000000,,,,,,,,,,,,
4bdrm Townhouse / Terrace in Lekki for rent, 10000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-lekki-for-rent-rvORRrjfX6nh71STGlmCHUlA.html?page=15&pos=20&cur_pos=20&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=339,"FOR RENT! 
Lovely 4 Bedroom Terrace Duplex 
Location- Ikate, Lekki
Rent -N10million per annum 
Service Charge -N800,000
Caution -N1,000,000
Agency - 10% 
Legal - 10%
Property Features: 
- [x] Room ensuite 
- [x] Visitors toilet 
- [x] Fitted Kitchen
- [x] Very Secured Estate 
- [x] 24hrs Security
‐ [x] BQ
- [x] Gym
- [x] Swimming Pool 
- [x] Ample Parking Space 
- [x] Wardrobe 
- [x] Kitchen cabinet
For more information and enquiries070XXXXXXXX",Ikate,,"500
     
      sqm",Newly-Built,Semi-Furnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,,,,,,,Semi-Detached,,,,,,
"4bdrm Duplex in Orchid Road, Lekki for rent", 6000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-orchid-road-lekki-for-rent-rGnUkTESVIEmzmz0ccKjlBPJ.html?page=15&pos=23&cur_pos=23&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=342,"Newly built 4Bedrooms Semi-Detached Duplex with Bq for Rent inside Estate at chevron second toll gate is available for rent. 
Annual rent 6miliion 
agency 600k
Legal 300k
caution 300k 
service charge 40k per month",Chevron second toll gate,Orchid Road,"1000
     
      sqm",Newly-Built,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Ikate for rent, 10000000,"Lekki, Ikate",https://jiji.ng/ikate/houses-apartments-for-rent/4bdrm-duplex-in-ikate-for-rent-dfkryGvXZ7hV59lE6CFc90YD.html?page=16&pos=2&cur_pos=2&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=344,"Elegantly Built Luxury 4bedrooms Semi Detached Duplex with BQ For Rent
 Location: Ikate Off Freedom Way Lekki Lagos
 Agency: 10%
Legal: 10%
Caution Deposit: 10%
 *Description:*
- All Rooms Ensuite
- Stable Power Supply
- 24 Hours Security
- Fitted kitchen
- Dinning Section
- Family Lounge
- Good Road
- Serene Environment
- Prime location
- Good neighborhood
- Clean Water
- Good drainage system","Ikate, Lekki phase 1.",,"480
     
      sqm",Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
"5bdrm Duplex in Banana Island, Ikoyi for rent", 120000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/5bdrm-duplex-in-banana-island-ikoyi-for-rent-5gVFmhkq6TxXmAGQfwH4BZ71.html?page=16&pos=5&cur_pos=5&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=347,"5-BED | 6-BATH | 1-BQ | GYM | $150K PER ANNUM
Searching for a luxurious 5-bedroom detached home in the serene and exclusive Banana Island area of Ikoyi, Lagos? Look no further than this stunning property now available for rent.
This impressive home boasts a range of top-of-the-line features, including a sparkling swimming pool, fully equipped gym, expansive living areas perfect for entertaining guests, and a fully fitted kitchen with all the latest appliances and amenities.
Upstairs, the double volume bedroom offers breathtaking views of the lagoon, while the walk-in closet provides ample storage space for all your clothes and accessories. Other highlights of the property include a security house, garden, and high-quality finishes throughout.
Contact us today to arrange a viewing and see for yourself what makes this property so special.",Banana Island,Banana Island,"800
     
      sqm",Newly-Built,Unfurnished,Duplex,5 bedrooms,5 bathrooms,,,,,,,,,,,,,
"Furnished 3bdrm Block of Flats in Off Osapa London, for rent", 3000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/furnished-3bdrm-block-of-flats-in-off-osapa-london-for-rent-5YFczvHXKC9pMzP92XJPmkxK.html?page=16&pos=8&cur_pos=8&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=350,"An executive, spacious and standard 3 bedroom flat apartment at off Osapa London, Lekki Lagos for 3m yearly rent","Off Osapa London, Lekki Lagos","Off Osapa London, Lekki Lagos","55
     
      sqm",Newly-Built,Furnished,Block of Flats,3 bedrooms,3 bathrooms,,,,,,,,,,,,,
"4bdrm Townhouse / Terrace in Ikate, Lekki for rent", 9000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-ikate-lekki-for-rent-paLQnLUERSHbFswO8vj5KKHt.html?page=16&pos=12&cur_pos=12&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=354,"TO LET !! || 4BED TERRACE DUPLEX ||  IKATE LEKKI 
4 Bedroom Terrace Duplex for Rent
Location :  ikate , Lekki, Lagos
Other charges:
Agency: 
Legal:
Caution: 
Service Charge: 
Total: 
Rent-luxury",Ikate,Ikate,"300
     
      sqm",Newly-Built,Unfurnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,1200000,,900000,900000,900000,2700000,Semi-Detached,,,,,,
"4bdrm Duplex in Lekki Horizon, Ikate for Rent", 5800000,"Lekki, Ikate",https://jiji.ng/ikate/houses-apartments-for-rent/4bdrm-duplex-in-lekki-horizon-ikate-for-rent-iWcNKy4QsvBadUANpAyQfN9Z.html?page=16&pos=14&cur_pos=14&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=356,A tastefully built 4bedroom duplex kitchen is fitted in a well serene a well secured estate 24hrs power supply all rooms en suite road fully tared in ikate to let 5.8m,ikate right,lekki horizon,"150
     
      sqm",Newly-Built,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,Pets Allowed
"4bdrm Duplex in Orchid, Lekki for rent", 5000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-orchid-lekki-for-rent-mnIoiDW6hcotWgo9dMZS0Em7.html?page=16&pos=19&cur_pos=19&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=361,"4bedroom duplex with BQ for rent 5Million Naira 
Every charge ; 10% self serviced and it’s renovated 
Location: Orchid
... Omosholajedicrvlevel...",Orchid road lekki eti-osa,Orchid,"600
     
      sqm",Renovated,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in Osapa, Lekki for Rent", 6500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-osapa-lekki-for-rent-kGolmxkVOnWfVqIiM8mX3nf1.html?page=16&pos=22&cur_pos=22&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=364,"Ambihomesproperties for rent 
4bedroom semi detached duplex available now 
Location  osapa 
Price 6.5M
Title governor consent 
Features::
Living rooms 
All rooms Ensuit 
Living rooms 
Guest lounge 
fully fitted kitchen 
Inbuilt sound speakers 
Inbuilt speakers 
CCTV 
Green area
24hurs security 
Ample parking space 
Serena environment",Lekki,osapa,,Newly-Built,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,,10,10,10,,,,,,,,
5bdrm Duplex in Ikate for rent, 9000000,"Lekki, Ikate",https://jiji.ng/ikate/houses-apartments-for-rent/5bdrm-duplex-in-ikate-for-rent-rgRdWKVWEuNvl68KHCQ0ilCQ.html?page=17&pos=2&cur_pos=2&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=367,"Beautiful Massive Well Maintained 5bedrooms Fully Detached Home with Study & Bq For Rent
*Note:* Good For Residential & Commercial Purposes.
Location: Meadow Hall Ikate Lekki Lagos
 Rent: N9M Per annum
Agency: 10%
Legal: 10%
Caution Deposit: 10%
 *Description:*
- All Rooms Ensuite
- CAN TAKE 6 CARs
- Stable Power Supply
- 24 Hours Security
- Fitted kitchen
- Dinning Section
- Family Lounge
- Good Road
- Serene Environment
- Prime location
- Good neighborhood
- Clean Water
- Good drainage system","Ikate, Lekki.",,"750
     
      sqm",Fairly Used,Unfurnished,Duplex,5 bedrooms,5 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in 4Bedroom Semi, Lekki for rent", 85000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-4bedroom-semi-lekki-for-rent-42yGUdL2uVMz2LBSg4Iy6QIm.html?page=17&pos=5&cur_pos=5&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=370,"4bedroom Semi detached duplex for sale
Location: Osapa London/Agungi
Price 75m 
Title: Governors concent",Chevron lekki,4bedroom Semi detached duplex,"1000
     
      sqm",Fairly Used,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
"2bdrm House in Visions Street, Amuwo-Odofin for rent", 1400000,Amuwo-Odofin,https://jiji.ng/amuwo-odofin/houses-apartments-for-rent/2bdrm-house-in-visions-street-amuwo-odofin-for-rent-u58Pht8PfhdhfBol04gUp24c.html?page=17&pos=8&cur_pos=8&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=373,A clean decent 2 bedroom in a screne environment,6th Avenue extension  Festac Town,Visions Street,"900
     
      sqm",Newly-Built,Semi-Furnished,House,2 bedrooms,2 bathrooms,,,10,10,10,30,Detached,,,,,,
4bdrm Duplex in Lekki for rent, 6000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-yyXFYbgoiLgelg984gAbUxHa.html?page=17&pos=10&cur_pos=10&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=375,"FOR RENT! 
Lovely 4 Bedroom Semi Detached Duplex 
Location- Orchid, Lekki
Rent - N6,000,000million/annum
Service Charge - Yet to be decided
Caution - N500,000
Agency - 10% 
Legal - 10%
Property Features:
- [x] 24hrs Security
- [x] Serviced
- [x] Room ensuite
- [x] Water Treatment
- [x] Visitors toilet
- [x] Fitted Kitchen
- [x] Very Secured Estate 
- [x] Ample Parking Space 
- [x] Wardrobe 
- [x] Kitchen cabinet
For more information and enquiries070XXXXXXXX",ORCHID,,"500
     
      sqm",Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in Ikota, Lekki for rent", 4500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-ikota-lekki-for-rent-37S87RazTjQ9TCU5z4eCLvib.html?page=17&pos=13&cur_pos=13&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=378,"Newly built 4Bedrooms Semi-Detached Duplex with Bq inside a very secured estate with excellent facilities immediately after chevron second toll gate. 
Annual rent 4.5M
Legal 450k
Agency 450k 
caution 450k",immediately after chevron second toll gate,Ikota,"1000
     
      sqm",Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Gra for rent, 15000000,"Ikeja, Ikeja GRA",https://jiji.ng/ikeja-gra/houses-apartments-for-rent/4bdrm-duplex-in-gra-for-rent-dEI1Kw6MtfRZwSYL8CdMt37k.html?page=17&pos=16&cur_pos=16&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=381,"4 BEDROOM DETACHED DUPLEX WITH A STUDY AND A BQ FOR RENT.
New House.
Location: Ikeja Gra lagos 

Features;
- All rooms en-suite 
- Anteroom 
- Self service 
- Security House
- Spacious living room 
- Balconies 
- Laundry 
- Family lounge
- Water heater
- Fitted kitchen 
-Walk-in closet’s 
- Shower cubicles 
- Borehole 
- 1Bq",GRA,Gra,"200
     
      sqm",Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,3500000,,10,10,100000,100020,,,,,,,
"4bdrm Townhouse / Terrace in Orchid Road, Lekki for Rent", 4200000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-orchid-road-lekki-for-rent-cj4R3cJJWYwDL6XXlMAQvnCk.html?page=17&pos=19&cur_pos=19&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=384,"4 BEDROOM TERRACE DUPLEX FOR RENT! 
Location: Orchid, Lekki, Lagos
Rent: 4.2m per annum
Other charges:
- Agency 10%
- Legal. 10%
- Caution 400k
- Service charge : 50k Monthly (pay as you go)
- Total Package : 5,440,000
Features
- 24 Hours Security
- 12 Hours Electricity
- All Rooms Ensuite
- Fully Fitted Kitchen
- Pop Ceiling
- Water Heater
- Walk-in-Shower
- Jacuzzi
- Interlocked Floor
- Serviced","Orchid road, Lekki",Orchid road,"900
     
      sqm",Newly-Built,Unfurnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,50000,50k monthly,4200000,420000,400000,,Semi-Detached,,,,,,
"4bdrm Duplex in Orchid, Lekki for Rent", 6500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-orchid-lekki-for-rent-AXzGnsk2KMPyGElul4wx5GlZ.html?page=17&pos=22&cur_pos=22&ads_per_page=23&ads_count=15807&lid=Xg7o-UQzyIZWjCuu&indexPosition=387,"Newly built and Spacious 4 bedroom semi detached duplex with BQ,fitted kitchen,en-suite bedrooms etc
Rent: 6.5M
Agency :10%
Legal :10%
Caution :500k
Total package:8.3M
Location  ORCHID LEKKI,LAGOS
Features 
-Spacious living room
-Fitted Kitchen 
-Family lounge 
-En-suite bedroom
- Pop Ceiling
- Interlocked floor 
-Electricity 
-Security 
-Inbuilt Speakers 
-Water heater 
-Walk-in shower
-Jacuzzi 
• 
•","Orchid, Lekki",Orchid,"350
     
      sqm",Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
